dates,month,day,year,month_day1,month_day2,day1,day2,timestamp
September 20-21 Meeting - 2016,September,20-21,2016,n,a,20,21,2016-09-21
November 1-2 Meeting - 2016,November,1-2,2016,n,a,1,2,2016-11-02
December 13-14 Meeting - 2016,December,13-14,2016,n,a,13,14,2016-12-14
Jan/Feb 31-1 Meeting - 2017,None,31-1,2017,Jan,Feb,31,1,2017-02-01
March 14-15 Meeting - 2017,March,14-15,2017,n,a,14,15,2017-03-15
May 2-3 Meeting - 2017,May,2-3,2017,n,a,2,3,2017-05-03
June 13-14 Meeting - 2017,June,13-14,2017,n,a,13,14,2017-06-14
July 25-26 Meeting - 2017,July,25-26,2017,n,a,25,26,2017-07-26
September 19-20 Meeting - 2017,September,19-20,2017,n,a,19,20,2017-09-20
Oct/Nov 31-1 Meeting - 2017,None,31-1,2017,Oct,Nov,31,1,2017-11-01
December 12-13 Meeting - 2017,December,12-13,2017,n,a,12,13,2017-12-13
January 30-31 Meeting - 2018,January,30-31,2018,n,a,30,31,2018-01-31
March 20-21 Meeting - 2018,March,20-21,2018,n,a,20,21,2018-03-21
May 1-2 Meeting - 2018,May,1-2,2018,n,a,1,2,2018-05-02
June 12-13 Meeting - 2018,June,12-13,2018,n,a,12,13,2018-06-13
Jul/Aug 31-1 Meeting - 2018,None,31-1,2018,Jul,Aug,31,1,2018-08-01
September 25-26 Meeting - 2018,September,25-26,2018,n,a,25,26,2018-09-26
November 7-8 Meeting - 2018,November,7-8,2018,n,a,7,8,2018-11-08
December 18-19 Meeting - 2018,December,18-19,2018,n,a,18,19,2018-12-19
